公司代號,公司名稱,合計：共 861 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,,14.16,9.17,21179.77,7.91,5.49
1102,亞泥,,7.45,3.53,12512.70,0.96,1.17
1103,嘉泥,,22.15,4.06,598.48,-14.79,-18.02
1104,環球水泥,,12.63,4.33,1100.66,26.02,25.37
1108,幸福水泥,,9.03,3.15,894.90,2.57,2.08
1109,信大水泥,,14.40,5.60,970.00,5.41,4.58
1110,東泥,,-2.87,-8.83,352.67,10.90,6.61
1201,味全公司,,26.14,-3.51,3597.80,6.52,5.19
1203,味王公司,,30.99,16.68,1544.11,14.96,10.63
1210,大成長城,,13.42,4.28,18781.08,4.10,3.36
1213,大飲,,13.10,4.26,163.18,3.93,3.25
1215,卜蜂企業,,17.97,10.42,4782.34,10.62,8.80
1216,統一,,33.36,5.83,96114.61,8.50,7.07
1217,愛之味,,29.83,-0.93,933.73,-2.20,-2.45
1218,泰山企業,,15.41,-0.91,1790.17,0.08,0.07
1219,福壽實業,,8.16,-0.02,2835.81,0.58,0.10
1220,台榮,,13.05,3.54,496.34,2.17,1.19
1225,福懋油,,9.72,4.61,2631.20,4.60,3.80
1227,佳格,,28.83,12.09,6491.92,11.28,9.14
1229,聯華實業,,22.71,11.12,1152.03,41.17,39.60
1231,聯華食品,,20.44,5.32,1762.90,5.07,4.04
1232,大統益,,9.06,5.44,4388.70,4.75,3.94
1233,天仁,,57.83,11.22,546.59,10.00,8.29
1234,黑松,,20.24,-1.99,2209.64,4.96,4.01
1235,興泰,,-58.06,-110.38,10.61,384.81,363.19
1236,宏亞食品,,21.74,-0.52,447.77,-0.20,-1.61
1256,鮮活果汁-KY,,29.24,12.84,621.42,12.63,6.93
1262,綠悅-KY,,35.58,30.33,2152.91,30.64,22.83
1301,台塑,,16.86,11.48,47796.00,22.51,20.69
1303,南亞塑膠,,17.94,11.66,72676.15,17.21,14.54
1304,台聚,,14.39,8.51,13902.57,6.62,5.17
1305,華夏,,23.11,15.67,3691.27,13.80,11.38
1307,三芳化工,,34.02,18.25,2701.62,15.08,12.37
1308,亞聚,,15.07,11.43,1531.13,11.36,9.76
