證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
台泥,11986840,"4,691",512612189,42.40,42.90,42.35,42.85,+,0.7,42.80,10,42.85,83,14.83,
亞泥,7196259,"3,073",279941030,38.65,39.00,38.60,39.00,+,0.4,38.95,2,39.00,175,14.18,
嘉泥,186063,113,2542289,13.70,13.70,13.60,13.70,,0.0,13.65,10,13.70,505,7.45,
環泥,171721,97,4584985,26.75,26.85,26.60,26.60,+,0.05,26.60,48,26.75,3,11.67,
幸福,136900,57,1389879,10.15,10.20,10.10,10.15,+,0.05,10.15,6,10.20,49,13.01,
信大,120000,32,1645350,13.70,13.80,13.65,13.80,,0.0,13.70,1,13.80,12,15.33,
東泥,60500,35,1007550,16.55,17.20,16.45,16.75,+,0.45,16.75,1,16.80,20,76.14,
味全,1148162,530,29082785,25.05,25.50,25.05,25.30,+,0.25,25.30,1,25.35,30,30.85,
味王,69613,56,1642365,23.60,23.90,23.45,23.55,-,0.2,23.70,1,23.75,3,28.04,
大成,2182527,986,60221830,27.80,27.90,27.45,27.50,-,0.1,27.45,55,27.50,27,7.99,
大飲,33690,27,706249,20.90,21.00,20.90,20.95,-,0.05,20.90,9,21.00,36,104.75,
卜蜂,1453587,642,40975351,28.65,28.80,27.90,27.95,-,0.65,27.95,35,28.00,9,9.02,
統一,18620723,"6,767",993426683,53.60,53.80,52.60,53.60,+,0.3,53.50,313,53.60,85,26.67,
愛之味,456032,172,3654071,8.03,8.03,8.00,8.00,-,0.03,8.00,30,8.02,22,0.00,
泰山,206900,96,2456868,11.85,11.95,11.80,11.85,,0.0,11.80,115,11.90,60,0.00,
福壽,34069,21,511277,15.05,15.05,14.95,15.00,-,0.05,15.00,2,15.05,6,39.47,
台榮,66007,34,691820,10.50,10.55,10.45,10.45,,0.0,10.40,11,10.50,16,34.83,
福懋油,33181,48,678068,20.50,20.90,20.30,20.45,+,0.05,20.40,5,20.45,5,"2,045.00",
佳格,3337517,968,241627172,72.20,72.90,71.90,72.40,+,1.2,72.30,53,72.50,3,26.04,
聯華,876588,271,18183047,20.70,20.85,20.65,20.75,+,0.05,20.75,34,20.80,42,9.26,
聯華食,363040,186,11096827,30.40,30.85,30.40,30.80,+,0.4,30.60,4,30.80,5,20.95,
大統益,87714,81,6311819,71.60,72.20,71.60,72.00,+,0.4,71.90,1,72.00,28,14.52,
天仁,110299,51,5181693,47.05,47.10,46.80,47.05,,0.0,47.00,2,47.05,6,18.52,
黑松,96001,96,3628775,37.70,38.00,37.70,37.90,-,0.1,37.75,20,37.95,1,18.95,
興泰,124000,65,2988000,23.90,24.60,23.70,23.80,+,0.25,23.80,1,23.90,2,9.96,
宏亞,17298,29,427492,24.45,24.80,24.45,24.80,-,0.05,24.60,1,24.90,2,12.65,
綠悅-KY,7562268,496,1129023200,151.00,151.50,139.50,139.50,-,10.5,--,0,139.50,82,15.25,
台塑,9554735,"4,175",743675061,78.20,78.50,77.20,78.10,+,1.4,78.00,2,78.10,163,20.61,
南亞,10560158,"5,529",729513202,69.50,69.60,68.70,69.30,+,1.2,69.20,2,69.30,43,15.64,
台聚,2991731,"1,085",52093488,17.60,17.70,17.15,17.15,-,0.45,17.15,98,17.20,180,24.50,
